score_bin,customers,observed_churn_rate,mean_predicted_score,min_score,max_score,lift_vs_base_rate
"(-0.001, 0.1]",1120,0.0017857142857142857,0.01027769,9.726416e-05,0.099644944,0.011124121779859485
"(0.1, 0.2]",67,0.05970149253731343,0.1490874,0.106293544,0.19982626,0.37191093711769024
"(0.2, 0.3]",32,0.1875,0.24330224,0.20008278,0.2980372,1.1680327868852458
"(0.3, 0.4]",17,0.058823529411764705,0.33414468,0.30021554,0.3864603,0.36644165863066536
"(0.4, 0.5]",18,0.2777777777777778,0.459683,0.40626806,0.49976277,1.7304189435336976
"(0.5, 0.6]",17,0.23529411764705882,0.56353307,0.5001835,0.59947824,1.4657666345226614
"(0.6, 0.7]",19,0.631578947368421,0.6610834,0.60293585,0.69999576,3.9344262295081966
"(0.7, 0.8]",8,0.25,0.76700413,0.73133254,0.78934693,1.5573770491803278
"(0.8, 0.9]",29,0.7241379310344828,0.8505924,0.8030857,0.89490205,4.511023176936122
"(0.9, 1.0]",193,0.9689119170984456,0.9800405,0.90380836,0.99969184,6.035844729465727
