column,value,count,share
Gender,F,5358,0.5290806754221389
Gender,M,4769,0.4709193245778612
Education_Level,Graduate,3128,0.308877258813074
Education_Level,High School,2013,0.1987755505085415
Education_Level,Unknown,1519,0.14999506270366347
Education_Level,Uneducated,1487,0.14683519304828677
Education_Level,College,1013,0.10002962377801916
Education_Level,Post-Graduate,516,0.05095289819294954
Education_Level,Doctorate,451,0.044534412955465584
Marital_Status,Married,4687,0.4628221585859583
Marital_Status,Single,3943,0.3893551890984497
Marital_Status,Unknown,749,0.07396069912116125
Marital_Status,Divorced,748,0.07386195319443073
Income_Category,Less than $40K,3561,0.35163424508739016
Income_Category,$40K - $60K,1790,0.17675520884763504
Income_Category,$80K - $120K,1535,0.15157499753135184
Income_Category,$60K - $80K,1402,0.13844178927619236
Income_Category,Unknown,1112,0.10980547052434086
Income_Category,$120K +,727,0.07178828873308976
Card_Category,Blue,9436,0.931766564629209
Card_Category,Silver,555,0.054803989335439916
Card_Category,Gold,116,0.011454527500740594
Card_Category,Platinum,20,0.0019749185346104475
