feature,importance
Total_Trans_Ct,0.1739371
Total_Revolving_Bal,0.086450644
transaction_amount_per_txn,0.073905915
Total_Relationship_Count,0.057218388
declining_count_flag,0.056029655
tenure_band_early,0.041864865
Total_Ct_Chng_Q4_Q1,0.038535092
Total_Trans_Amt,0.038268242
Months_Inactive_12_mon,0.03119929
is_dormant_3m,0.027665963
Gender_F,0.025582153
Gender_M,0.025353888
Total_Amt_Chng_Q4_Q1,0.023775367
Credit_Limit,0.018124988
Contacts_Count_12_mon,0.016936742
Income_Category_Unknown,0.01590961
Customer_Age,0.015622866
declining_amt_flag,0.014649613
Avg_Open_To_Buy,0.013794697
high_contact_low_activity,0.012142641
