column,missing_count,missing_rate,unknown_count
Education_Level,0,0.0,1519
Income_Category,0,0.0,1112
Marital_Status,0,0.0,749
CLIENTNUM,0,0.0,0
Attrition_Flag,0,0.0,0
Customer_Age,0,0.0,0
Gender,0,0.0,0
Dependent_count,0,0.0,0
Card_Category,0,0.0,0
Months_on_book,0,0.0,0
Total_Relationship_Count,0,0.0,0
Months_Inactive_12_mon,0,0.0,0
Contacts_Count_12_mon,0,0.0,0
Credit_Limit,0,0.0,0
Total_Revolving_Bal,0,0.0,0
Avg_Open_To_Buy,0,0.0,0
Total_Amt_Chng_Q4_Q1,0,0.0,0
Total_Trans_Amt,0,0.0,0
Total_Trans_Ct,0,0.0,0
Total_Ct_Chng_Q4_Q1,0,0.0,0
Avg_Utilization_Ratio,0,0.0,0
churn_flag,0,0.0,0
