Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,is_monoproduct,is_dormant_3m,transaction_amount_per_txn,high_contact_low_activity,declining_amt_flag,declining_count_flag,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,tenure_band_early,tenure_band_established,tenure_band_growing,tenure_band_mature,utilization_band_high,utilization_band_low,utilization_band_medium,utilization_band_very_low
39.0,2.0,27.0,4.0,2.0,2.0,9959.0,1476.0,8483.0,0.952,2760.0,44.0,1.0,0.148,0.0,0.0,62.72727272727273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43.0,3.0,32.0,4.0,1.0,3.0,2476.0,1944.0,532.0,0.881,4025.0,65.0,0.585,0.785,0.0,0.0,61.92307692307692,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
57.0,3.0,29.0,6.0,1.0,1.0,8801.0,1421.0,7380.0,0.568,1104.0,31.0,0.292,0.161,0.0,0.0,35.61290322580645,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43.0,5.0,31.0,4.0,1.0,2.0,7564.0,0.0,7564.0,0.61,4743.0,82.0,0.822,0.0,0.0,0.0,57.84146341463415,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
42.0,3.0,34.0,2.0,1.0,1.0,2289.0,1195.0,1094.0,0.651,4955.0,83.0,0.627,0.522,0.0,0.0,59.69879518072289,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36.0,2.0,23.0,1.0,1.0,3.0,23981.0,0.0,23981.0,0.827,15236.0,120.0,0.875,0.0,1.0,0.0,126.96666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56.0,3.0,46.0,2.0,1.0,2.0,7234.0,2055.0,5179.0,0.703,5051.0,83.0,0.66,0.284,0.0,0.0,60.855421686746986,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
31.0,0.0,23.0,2.0,2.0,1.0,10850.0,1873.0,8977.0,0.995,13794.0,127.0,0.789,0.173,0.0,0.0,108.61417322834646,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46.0,4.0,26.0,3.0,3.0,6.0,15195.0,0.0,15195.0,0.726,2631.0,41.0,0.64,0.0,0.0,1.0,64.17073170731707,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50.0,1.0,41.0,4.0,1.0,3.0,13032.0,1701.0,11331.0,0.904,4348.0,77.0,0.878,0.131,0.0,0.0,56.467532467532465,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
58.0,3.0,53.0,4.0,1.0,2.0,6103.0,1798.0,4305.0,0.705,1468.0,34.0,0.619,0.295,0.0,0.0,43.1764705882353,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52.0,1.0,36.0,6.0,1.0,1.0,4222.0,0.0,4222.0,0.523,4487.0,77.0,1.081,0.0,0.0,0.0,58.27272727272727,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
55.0,3.0,46.0,4.0,3.0,2.0,5162.0,984.0,4178.0,0.842,3562.0,72.0,0.895,0.191,0.0,1.0,49.47222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
61.0,1.0,50.0,5.0,1.0,2.0,8604.0,1075.0,7529.0,0.464,4705.0,65.0,0.806,0.125,0.0,0.0,72.38461538461539,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
51.0,2.0,35.0,4.0,2.0,2.0,6205.0,2264.0,3941.0,0.773,4605.0,88.0,0.725,0.365,0.0,0.0,52.32954545454545,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
51.0,3.0,38.0,5.0,3.0,1.0,5536.0,0.0,5536.0,0.695,4281.0,82.0,0.822,0.0,0.0,1.0,52.207317073170735,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42.0,3.0,36.0,3.0,2.0,3.0,15069.0,1843.0,13226.0,0.84,3464.0,67.0,0.558,0.122,0.0,0.0,51.701492537313435,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
