dimension,value,n,churn_rate,mean_score,precision,recall,pr_auc,roc_auc,true_positives,false_positives,false_negatives,true_negatives,is_interpretable
Gender,F,811,0.17879161528976573,0.2019849252140383,0.8045977011494253,0.9655172413793104,0.9693376229886995,0.9937868903386144,140,34,5,632,True
Gender,M,709,0.13963328631875882,0.17139942336095856,0.7045454545454546,0.9393939393939394,0.9316482019913861,0.9870673952641166,93,39,6,571,True
Income_Category,$120K +,101,0.12871287128712872,0.1488926970232209,0.8,0.9230769230769231,0.886267387583177,0.986013986013986,12,3,1,85,True
Income_Category,$40K - $60K,277,0.1624548736462094,0.18192002206111146,0.7719298245614035,0.9777777777777777,0.9610047350550094,0.9919540229885058,44,13,1,219,True
Income_Category,$60K - $80K,217,0.15668202764976957,0.1859457869985847,0.7333333333333333,0.9705882352941176,0.9652141230594465,0.9929283188685311,33,12,1,171,True
Income_Category,$80K - $120K,220,0.15454545454545454,0.18861931981670998,0.7209302325581395,0.9117647058823529,0.945723705332124,0.9859266287160026,31,12,3,174,True
Income_Category,Less than $40K,535,0.17196261682242991,0.19673055759813335,0.7857142857142857,0.9565217391304348,0.9602551945507178,0.9922710766512906,88,24,4,419,True
Income_Category,Unknown,170,0.15294117647058825,0.19296836792859454,0.7352941176470589,0.9615384615384616,0.9886306001690617,0.9973290598290598,25,9,1,135,True
Card_Category,Blue,1410,0.16028368794326242,0.18670589134702087,0.7578947368421053,0.9557522123893806,0.9581874970642128,0.9914568883042334,216,69,10,1115,True
Card_Category,Gold,17,0.11764705882352941,0.19365243219619835,0.6666666666666666,1.0,,,2,1,0,14,False
Card_Category,Platinum,4,0.25,0.2526806883397512,1.0,1.0,,,1,0,0,3,False
Card_Category,Silver,89,0.16853932584269662,0.1997061192304592,0.8235294117647058,0.9333333333333333,0.9859649122807017,0.9963963963963964,14,3,1,71,True
age_band,26 à 39 ans,306,0.11764705882352941,0.15509792420212476,0.673469387755102,0.9166666666666666,0.9386198067484617,0.9873456790123456,33,16,3,254,True
age_band,40 à 49 ans,681,0.18355359765051396,0.20747845453941746,0.8,0.96,0.9604846408596941,0.991568345323741,120,30,5,526,True
age_band,50 à 59 ans,451,0.1574279379157428,0.18383991202912442,0.7555555555555555,0.9577464788732394,0.973897345620064,0.9938472942920682,68,22,3,358,True
age_band,60 ans et plus,82,0.14634146341463414,0.16667527852653777,0.7058823529411765,1.0,0.8793361730861731,0.9833333333333334,12,5,0,65,True
cluster_label,Contacted but fragile,75,0.7866666666666666,0.8629647696018219,0.7866666666666666,1.0,0.9665097665405933,0.8972457627118644,59,16,0,0,True
cluster_label,Dormant high-risk,152,0.8947368421052632,0.9297284315291204,0.8947368421052632,1.0,0.9797008853485129,0.8579963235294117,136,16,0,0,True
cluster_label,Lower-risk active,1067,0.038425492033739454,0.060170520554454765,0.49206349206349204,0.7560975609756098,0.7850052425676862,0.9811486711358341,31,32,10,994,True
cluster_label,Mono-product exposed,226,0.035398230088495575,0.06676522463424114,0.4375,0.875,0.8326330532212884,0.9913990825688074,7,9,1,209,True
risk_band,Faible,1157,0.003457216940363008,0.014008076639197281,0.0,0.0,0.09766057585825028,0.9781006071118821,0,0,4,1153,True
risk_band,Moyen,57,0.12280701754385964,0.20380333405837678,0.0,0.0,0.25831042360659084,0.6285714285714286,0,0,7,50,True
risk_band,Très élevé,266,0.849624060150376,0.9101190674573856,0.849624060150376,1.0,0.9735725770524636,0.8772123893805309,226,40,0,0,True
risk_band,Élevé,40,0.175,0.38540397137403487,0.175,1.0,0.43253968253968256,0.6623376623376623,7,33,0,0,True
