threshold,precision,recall,f1,f2,targeted_customers,targeted_rate,true_positives,false_positives,false_negatives,true_negatives
0.05,0.5236051502145923,1.0,0.6873239436619718,0.8460471567267683,466,0.30657894736842106,244,222,0,1054
0.055,0.541019955654102,1.0,0.702158273381295,0.8549404344779257,451,0.2967105263157895,244,207,0,1069
0.06,0.5483146067415731,1.0,0.7082728592162555,0.8585503166783955,445,0.29276315789473684,244,201,0,1075
0.065,0.5558086560364465,1.0,0.7144948755490483,0.8621908127208481,439,0.2888157894736842,244,195,0,1081
0.07,0.5661252900232019,1.0,0.7229629629629629,0.8670931058990761,431,0.2835526315789474,244,187,0,1089
0.075,0.5754716981132075,1.0,0.7305389221556886,0.8714285714285714,424,0.2789473684210526,244,180,0,1096
0.08,0.5851318944844125,1.0,0.7382753403933434,0.8758076094759512,417,0.2743421052631579,244,173,0,1103
0.085,0.5907990314769975,1.0,0.7427701674277016,0.8783297336213103,413,0.27171052631578946,244,169,0,1107
0.09,0.6004962779156328,0.9918032786885246,0.7480680061823802,0.8774474256707759,403,0.26513157894736844,242,161,2,1115
0.095,0.6019900497512438,0.9918032786885246,0.7492260061919505,0.8780841799709724,402,0.2644736842105263,242,160,2,1116
0.1,0.605,0.9918032786885246,0.7515527950310559,0.8793604651162791,400,0.2631578947368421,242,158,2,1118
0.105,0.605,0.9918032786885246,0.7515527950310559,0.8793604651162791,400,0.2631578947368421,242,158,2,1118
0.11,0.6095717884130982,0.9918032786885246,0.7550702028081123,0.8812818645302258,397,0.2611842105263158,242,155,2,1121
0.115,0.6205128205128205,0.9918032786885246,0.7634069400630915,0.8857979502196194,390,0.2565789473684211,242,148,2,1128
0.12,0.6237113402061856,0.9918032786885246,0.7658227848101266,0.8870967741935484,388,0.25526315789473686,242,146,2,1130
0.125,0.6335078534031413,0.9918032786885246,0.7731629392971247,0.8910162002945509,382,0.2513157894736842,242,140,2,1136
0.13,0.6385224274406333,0.9918032786885246,0.7768860353130016,0.8929889298892989,379,0.2493421052631579,242,137,2,1139
0.135,0.6451612903225806,0.9836065573770492,0.7792207792207793,0.8902077151335311,372,0.24473684210526317,240,132,4,1144
0.14,0.6469002695417789,0.9836065573770492,0.7804878048780488,0.89086859688196,371,0.24407894736842106,240,131,4,1145
0.145,0.6539509536784741,0.9836065573770492,0.7855973813420621,0.8935219657483247,367,0.24144736842105263,240,127,4,1149
