CLIENTNUM,churn_flag,Months_Inactive_12_mon,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Months_on_book,churn_probability,risk_decile,cluster_label
768805383,0,1,1144,42,0.061,5,3,12691.0,39,0.0015602807,3,Lower-risk active
818770008,0,1,1291,33,0.105,6,2,8256.0,44,0.0002989068,1,Lower-risk active
713982108,0,1,1887,20,0.0,4,0,3418.0,36,0.0010147324,2,Lower-risk active
769911858,0,4,1171,20,0.76,3,1,3313.0,34,0.002961619,4,Lower-risk active
709106358,0,1,816,28,0.0,5,0,4716.0,21,0.2918378,9,Lower-risk active
713061558,0,1,1088,24,0.311,3,2,4010.0,36,0.004610084,5,Lower-risk active
810347208,0,1,1330,31,0.066,6,3,34516.0,46,0.0015805908,3,Lower-risk active
818906208,0,2,1538,36,0.048,2,2,29081.0,27,0.0079903,6,Mono-product exposed
710930508,0,2,1350,24,0.113,5,0,22352.0,36,0.00039762817,1,Lower-risk active
719661558,0,3,1441,32,0.144,6,3,11656.0,36,0.0010169201,2,Lower-risk active
708790833,0,3,1201,42,0.217,5,2,6748.0,31,0.006422404,6,Lower-risk active
710821833,0,2,1314,26,0.174,6,3,9095.0,54,0.0002598929,1,Lower-risk active
710599683,0,6,1539,17,0.0,3,0,11751.0,36,0.0020742707,3,Lower-risk active
816082233,0,1,1311,33,0.195,5,3,8547.0,30,0.0002998181,1,Lower-risk active
712396908,0,2,1570,29,0.279,5,2,2436.0,48,0.00312688,4,Lower-risk active
714885258,0,1,1348,27,0.23,5,2,4234.0,37,0.0002635565,1,Lower-risk active
709967358,0,2,1671,27,0.078,6,3,30367.0,36,0.0025992424,4,Lower-risk active
753327333,0,4,1028,21,0.095,4,1,13535.0,34,0.009630796,6,Lower-risk active
806160108,0,2,1336,30,0.788,2,3,3193.0,56,0.006541505,6,Mono-product exposed
709327383,0,1,1207,21,0.08,6,2,14470.0,37,0.0004181921,1,Lower-risk active
806165208,0,2,1178,27,0.086,5,0,20979.0,42,0.0005063933,1,Lower-risk active
708508758,1,3,692,16,0.0,2,3,1438.3,49,0.99890697,10,Dormant high-risk
784725333,0,2,931,18,0.152,4,1,4470.0,33,0.03394722,7,Lower-risk active
811604133,0,3,1126,23,0.626,3,2,2492.0,36,0.07547876,8,Lower-risk active
789124683,0,2,1110,21,0.0,4,3,12217.0,42,0.02390938,7,Lower-risk active
771071958,0,1,1051,22,0.215,6,2,7768.0,28,0.009016265,6,Lower-risk active
720466383,0,1,1197,23,0.093,4,2,14784.0,46,0.00037938313,1,Lower-risk active
